"","PRIMARY_KEY","ORGANIZATION_NAME","SUB_BUILDING_NAME","BUILDING_NAME","NUMBER","PRIMARY_THORFARE","ALT_THORFARE","SECONDARY_THORFARE","LOCALITY","TOWNLAND","TOWN","COUNTY","POSTCODE","X_CORDINATE","Y_CORDINATE"
"73",73,"","","","30","LEIGHERY ROAD","","","","BALLYLEIGHERY UPPER","LIMAVADY","LONDONDERRY","BT490JG",270404,431604
"75",75,"","","","38","CURRAGH ROAD","","","BALLYSCULLION","DUNCRUN","LIMAVADY","LONDONDERRY","BT490JE",268543,432534
"76",76,"","","","405","SEACOAST ROAD","","","","CLOONEY","LIMAVADY","LONDONDERRY","BT490LW",268640,433777
"89",89,"","","","370","SEACOAST ROAD","","","","BALLYSCULLION","LIMAVADY","LONDONDERRY","BT490LA",267172,432608
"92",92,"","","TELEPHONE EXCHANGE",NA,"SEACOAST ROAD","","","","OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JY",266864,431456
"99",99,"","","","21","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267148,432852
"226",226,"","","","254","SEACOAST ROAD","","","","BELLARENA","LIMAVADY","LONDONDERRY","BT490HZ",266391,429886
"236",236,"","","","100","DOWLAND ROAD","","","FRUITHILL","CARBULLION","LIMAVADY","LONDONDERRY","BT490HR",267029,425935
"310",310,"","","","47","DOWLAND ROAD","","","FRUITHILL","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HR",268259,424813
"455",455,"","APARTMENT E","","5","LODGE COURT","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EY",266899,423197
"456",456,"","","","40","LINENHALL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266936,423105
"457",457,"DRY ARCH FAMILY CENTRE (THE DEN)","","","55","CATHERINE STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DA",266943,422977
"458",458,"","","","9","TYLER PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DS",267857,423478
"461",461,"","","","9","BALLYCLOSE STREET","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BL",267359,423426
"462",462,"","","","100","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EA",267364,422972
"463",463,"","","","12","DUNMORE PLACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AN",267370,422688
"464",464,"","","","2","GLENBEG WALK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RL",267723,421964
"465",465,"","","","74A","SCROGGY ROAD","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NB",267986,422179
"466",466,"","","","51","CARLARAGH ROAD","","","","TERRYDRUM","LIMAVADY","LONDONDERRY","BT499LF",265869,419219
"467",467,"CRAIGS SERVICE STATION","","","6","BALLYCLOSE STREET","","","","KILLANE","LIMAVADY","LONDONDERRY","BT490BN",267310,423476
"468",468,"","","","42","DRUMACHOSE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",268024,422250
"472",472,"","","","13","PROTESTANT STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BP",266982,422879
"473",473,"","","","42","COOLESSAN WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267586,421786
"475",475,"","","","15","GLENMILL PARK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490RS",267627,421972
"477",477,"","","","17","ANNADALE PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BW",267142,422786
"479",479,"","","","33","MASSEY AVENUE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BN",267086,422712
"481",481,"","","","6","MOYNE WALK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AX",267181,422296
"485",485,"","","","17A","SCROGGY ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267710,423019
"486",486,"","","","42","BELLS HILL","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268197,423183
"488",488,"","","","6","JOSEPHINE TERRACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AY",267183,422335
"497",497,"","","","112","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QG",268286,421549
"498",498,"","","","60","WOODLAND WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267290,421677
"499",499,"","","","20","GLENSIDE BRAE","","","","DEER PARK","LIMAVADY","LONDONDERRY","BT490RY",267918,421620
"501",501,"","","","21","EDENMORE PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268331,422310
"503",503,"","","","26","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",267015,423234
"508",508,"","","","50","BALLYAVELIN ROAD","","","","GLEBE","LIMAVADY","LONDONDERRY","BT490NQ",269945,420994
"509",509,"","","","18","GORTEEN CRESCENT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267432,421762
"510",510,"","FLAT 29","BENEVENAGH FOLD","102","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EF",267390,422968
"511",511,"","","","144","RINGSEND ROAD","","","","DRUMRAMER","LIMAVADY","LONDONDERRY","BT490QN",274972,423478
"512",512,"","","","44","WHISPERING PINES","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",268979,422438
"513",513,"","","","19","TYLER ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DP",268069,423514
"514",514,"","","","2","ROEMMELE HAVEN","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490EB",268431,422344
